name,image,muscles,equipment
Rickshaw Carry,https://www.bodybuilding.com/exercises/exerciseImages/sequences/742/Male/m/742_1.jpg,Forearms,Other
Single-Leg Press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg,Quadriceps,Machine
Landmine twist,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg,Abdominals,Other
Weighted pull-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg,Lats,Other
T-Bar Row with Handle,https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg,Middle Back,Other
Palms-down wrist curl over bench,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg,Forearms,Barbell
Atlas Stones,https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg,Lower Back,Other
Dumbbell front raise to lateral raise,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg,Shoulders,Dumbbell
Clean from Blocks,https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg,Quadriceps,Barbell
Incline Hammer Curls,https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg,Biceps,Dumbbell
Straight-bar wrist roll-up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-116s-straight-bar-wrist-roll-up-m1-square-600x600.jpg,Forearms,
Barbell glute bridge,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-114s-barbell-glute-bridge-m1-square-600x600.jpg,Glutes,Barbell
Clean and press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-27b-clean-and-press-m1-square-600x600.jpg,Shoulders,Barbell
Triceps dip,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-1m-triceps-dip-m1-square-600x600.jpg,Triceps,Body Only
Dumbbell farmer's walk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-30d-dumbbell-farmers-walk-m1-square-600x600.jpg,Forearms,Other
Palms-up wrist curl over bench,,Forearms,Barbell
Barbell Full Squat,,Quadriceps,Barbell
Barbell deficit deadlift,,Lower Back,Barbell
Barbell Deadlift,,Hamstrings,Barbell
Single-arm palm-in dumbbell shoulder press,,Shoulders,Dumbbell
Romanian Deadlift With Dumbbells,,Hamstrings,Dumbbell
Tire flip,,Quadriceps,Other
Clean Deadlift,,Hamstrings,Barbell
Elbow plank,,Abdominals,Body Only
Bottoms Up,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-63a-lying-leg-lift-m2-square-600x600.jpg,Abdominals,Body Only
Barbell back squat to box,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-72e-barbell-back-squat-to-box-m2-square-600x600.jpg,Quadriceps,Barbell
Clean and jerk,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-26b-clean-and-jerk-m1-square-600x600.jpg,Shoulders,Barbell
Single-arm kettlebell push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-67k-single-arm-kettlebell-push-press-m2-square-600x600.jpg,Shoulders,Kettlebells
Push-press,https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-39b-push-press-m2-square-600x600.jpg,Quadriceps,Barbell
